# JMH 1.11.1 (released 31 days ago)
# VM version: JDK 1.8.0_60, VM 25.60-b23
# VM invoker: C:\Program Files\Java\jre1.8.0_60\bin\java.exe
# VM options: <none>
# Warmup: 5 iterations, 5 ms each
# Measurement: 10 iterations, 5 ms each
# Timeout: 10 min per iteration
# Threads: 30 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.eguimaraes.MyBenchmark.lockFreeBenchmark

# Run progress: 0.00% complete, ETA 00:00:01
# Fork: 1 of 10
# Warmup Iteration   1: 568456.382 ops/s
# Warmup Iteration   2: 1883577.094 ops/s
# Warmup Iteration   3: 2187730.643 ops/s
# Warmup Iteration   4: 2129498.695 ops/s
# Warmup Iteration   5: 2042352.539 ops/s
Iteration   1: 2067286.030 ops/s
Iteration   2: 2258688.345 ops/s
Iteration   3: 2151092.059 ops/s
Iteration   4: 2248894.252 ops/s
Iteration   5: 2037982.601 ops/s
Iteration   6: 2152298.897 ops/s
Iteration   7: 1985173.926 ops/s
Iteration   8: 2087464.026 ops/s
Iteration   9: 2126543.447 ops/s
Iteration  10: 1999461.938 ops/s

# Run progress: 5.00% complete, ETA 00:02:57
# Fork: 2 of 10
# Warmup Iteration   1: 2050868.912 ops/s
# Warmup Iteration   2: 2534239.435 ops/s
# Warmup Iteration   3: 1867239.523 ops/s
# Warmup Iteration   4: 1973021.024 ops/s
# Warmup Iteration   5: 2066700.811 ops/s
Iteration   1: 1949893.191 ops/s
Iteration   2: 1791087.360 ops/s
Iteration   3: 1987210.606 ops/s
Iteration   4: 395950.885 ops/s
Iteration   5: 1974718.532 ops/s
Iteration   6: 2119672.000 ops/s
Iteration   7: 2058675.800 ops/s
Iteration   8: 1859417.760 ops/s
Iteration   9: 2087904.385 ops/s
Iteration  10: 1781785.662 ops/s

# Run progress: 10.00% complete, ETA 00:02:43
# Fork: 3 of 10
# Warmup Iteration   1: 2000061.812 ops/s
# Warmup Iteration   2: 2066112.166 ops/s
# Warmup Iteration   3: 1807344.724 ops/s
# Warmup Iteration   4: 1819144.041 ops/s
# Warmup Iteration   5: 1920788.488 ops/s
Iteration   1: 2202026.868 ops/s
Iteration   2: 2020438.226 ops/s
Iteration   3: 1990472.398 ops/s
Iteration   4: 2303341.029 ops/s
Iteration   5: 2031992.439 ops/s
Iteration   6: 2073944.650 ops/s
Iteration   7: 2084293.470 ops/s
Iteration   8: 2156416.585 ops/s
Iteration   9: 2144504.111 ops/s
Iteration  10: 2184456.290 ops/s

# Run progress: 15.00% complete, ETA 00:02:31
# Fork: 4 of 10
# Warmup Iteration   1: 2206330.455 ops/s
# Warmup Iteration   2: 2043049.625 ops/s
# Warmup Iteration   3: 1978893.795 ops/s
# Warmup Iteration   4: 1891303.839 ops/s
# Warmup Iteration   5: 2316888.593 ops/s
Iteration   1: 2013043.585 ops/s
