# 75% readers / 25% writers
# JMH 1.11.1 (released 32 days ago)
# VM version: JDK 1.7.0, VM 21.0-b17
# VM invoker: /usr/jdk/instances/jdk1.7.0/jre/bin/java
# VM options: <none>
# Warmup: 5 iterations, 5 ms each
# Measurement: 10 iterations, 5 ms each
# Timeout: 10 min per iteration
# Threads: 10 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.eguimaraes.MyBenchmark.lockFreeBenchmark

# Run progress: 0.00% complete, ETA 00:00:01
# Fork: 1 of 10
# Warmup Iteration   1: 1230.208 ops/s
# Warmup Iteration   2: 8331.595 ops/s
# Warmup Iteration   3: 9946.790 ops/s
# Warmup Iteration   4: 9954.387 ops/s
# Warmup Iteration   5: 9937.983 ops/s
Iteration   1: 14010.589 ops/s
Iteration   2: 77665.242 ops/s
Iteration   3: 78008.763 ops/s
Iteration   4: 77284.818 ops/s
Iteration   5: 77591.353 ops/s
Iteration   6: 76992.463 ops/s
Iteration   7: 77738.205 ops/s
Iteration   8: 77713.999 ops/s
Iteration   9: 77552.037 ops/s
Iteration  10: 77717.391 ops/s

# Run progress: 5.00% complete, ETA 00:00:55
# Fork: 2 of 10
# Warmup Iteration   1: 1183.571 ops/s
# Warmup Iteration   2: 8642.166 ops/s
# Warmup Iteration   3: 9882.752 ops/s
# Warmup Iteration   4: 9753.608 ops/s
# Warmup Iteration   5: 13847.050 ops/s
Iteration   1: 13949.785 ops/s
Iteration   2: 14019.831 ops/s
Iteration   3: 88372.989 ops/s
Iteration   4: 88779.430 ops/s
Iteration   5: 88140.103 ops/s
Iteration   6: 88369.837 ops/s
Iteration   7: 88349.145 ops/s
Iteration   8: 88343.672 ops/s
Iteration   9: 88314.418 ops/s
Iteration  10: 88448.677 ops/s

# Run progress: 10.00% complete, ETA 00:00:50
# Fork: 3 of 10
# Warmup Iteration   1: 1187.219 ops/s
# Warmup Iteration   2: 8537.343 ops/s
# Warmup Iteration   3: 10282.590 ops/s
# Warmup Iteration   4: 10339.726 ops/s
# Warmup Iteration   5: 10332.167 ops/s
Iteration   1: 14566.899 ops/s
Iteration   2: 14682.355 ops/s
Iteration   3: 107602.060 ops/s
Iteration   4: 120345.200 ops/s
Iteration   5: 120229.982 ops/s
Iteration   6: 119793.085 ops/s
Iteration   7: 119822.086 ops/s
Iteration   8: 119821.897 ops/s
Iteration   9: 120087.664 ops/s
Iteration  10: 119975.011 ops/s

# Run progress: 15.00% complete, ETA 00:00:46
# Fork: 4 of 10
# Warmup Iteration   1: 1255.708 ops/s
# Warmup Iteration   2: 8728.703 ops/s
# Warmup Iteration   3: 9942.568 ops/s
# Warmup Iteration   4: 9928.754 ops/s
# Warmup Iteration   5: 10864.875 ops/s
Iteration   1: 14669.955 ops/s
Iteration   2: 14818.479 ops/s
Iteration   3: 119886.301 ops/s
Iteration   4: 122392.153 ops/s
Iteration   5: 121923.556 ops/s
Iteration   6: 121654.277 ops/s
Iteration   7: 121581.150 ops/s
Iteration   8: 121802.985 ops/s
Iteration   9: 122070.491 ops/s
Iteration  10: 121945.835 ops/s

# Run progress: 20.00% complete, ETA 00:00:43
# Fork: 5 of 10
# Warmup Iteration   1: 1221.715 ops/s
# Warmup Iteration   2: 8676.601 ops/s
# Warmup Iteration   3: 10101.958 ops/s
# Warmup Iteration   4: 10167.517 ops/s
# Warmup Iteration   5: 10170.927 ops/s
Iteration   1: 13428.937 ops/s
Iteration   2: 13623.647 ops/s
Iteration   3: 96438.991 ops/s
Iteration   4: 96562.407 ops/s
Iteration   5: 96191.362 ops/s
Iteration   6: 96261.731 ops/s
Iteration   7: 96308.360 ops/s
Iteration   8: 96040.638 ops/s
Iteration   9: 96222.672 ops/s
Iteration  10: 97347.917 ops/s

# Run progress: 25.00% complete, ETA 00:00:40
# Fork: 6 of 10
# Warmup Iteration   1: 1215.340 ops/s
# Warmup Iteration   2: 8439.602 ops/s
# Warmup Iteration   3: 9774.861 ops/s
# Warmup Iteration   4: 9880.566 ops/s
# Warmup Iteration   5: 9759.595 ops/s
Iteration   1: 14047.061 ops/s
Iteration   2: 14195.297 ops/s
Iteration   3: 85921.531 ops/s
Iteration   4: 85480.767 ops/s
Iteration   5: 85285.272 ops/s
Iteration   6: 85132.167 ops/s
Iteration   7: 85293.143 ops/s
Iteration   8: 85170.143 ops/s
Iteration   9: 85955.332 ops/s
Iteration  10: 85295.478 ops/s

# Run progress: 30.00% complete, ETA 00:00:37
# Fork: 7 of 10
# Warmup Iteration   1: 1223.854 ops/s
# Warmup Iteration   2: 8384.211 ops/s
# Warmup Iteration   3: 9808.653 ops/s
# Warmup Iteration   4: 9831.776 ops/s
# Warmup Iteration   5: 9940.025 ops/s
Iteration   1: 14664.821 ops/s
Iteration   2: 14729.859 ops/s
Iteration   3: 121097.533 ops/s
Iteration   4: 121075.336 ops/s
Iteration   5: 120376.493 ops/s
Iteration   6: 120425.725 ops/s
Iteration   7: 120015.171 ops/s
Iteration   8: 120237.862 ops/s
Iteration   9: 120748.611 ops/s
Iteration  10: 120729.255 ops/s

# Run progress: 35.00% complete, ETA 00:00:35
# Fork: 8 of 10
